,embedding
0,"[ 0.26864729  0.15857758  0.16212057 -0.01423104 -0.25778298 -0.0952591
 -0.52540688  0.17649845  0.47567532  0.28029289 -0.42306459  0.42405843
 -0.19651275 -0.00443959 -0.11388267 -0.20442495 -0.47777252 -0.2882082
  0.40544701  0.318409    0.19304987  0.36428273 -0.23986993 -0.0435576
  0.12072377  0.19574148  0.19332434 -0.24314339 -0.13377007  0.12626764
  0.18507002  0.03784372 -0.2755076  -0.48735915 -0.67294669  0.08989897
  0.66321964 -0.5380843   0.0505676   0.15122734 -0.17608436 -0.01511972
 -0.32895525 -0.08552556 -0.07365752  0.03191218  0.28865773  0.37630468
 -0.28340415  0.34017867 -0.30985754 -0.3782644  -0.70854178 -0.53509349
 -0.33106893 -0.18304148 -0.28608539 -0.38148648 -0.51595507 -0.30610485
  0.06598679  0.09100403  0.16683941  0.09430201  0.24408833  0.08289534
 -0.00122875  0.03017159  0.67597477  0.37273638 -0.51500032  0.17229167
 -0.27561456  0.31861044 -0.18772718 -0.28466144 -0.37209092  0.24914154
 -0.26333745  0.33731829  0.46613745 -0.20041731  0.20962462  0.0782403
 -0.2236962   0.22910017  0.01920045  0.24316894 -0.39317546 -0.40512332
  0.41893596  0.20642259  0.14528735 -0.26375529 -0.02558083 -0.04076192
 -0.3136359  -0.05843537  0.56435873 -0.2238582   0.28333428  0.20187981
 -0.03836596 -0.10908646 -0.20199082  0.09296368 -0.5093839   0.30801635
  0.21717583 -0.13144717  0.00129741  0.61358659  0.06336889  0.20076872
  0.19135472  0.13058304 -0.36997562 -0.07636081  0.00642047 -0.15372167
  0.1341086  -0.43656945 -0.1078373   0.34742556 -0.49186981 -0.70328532
  0.08416653 -0.36055674 -0.18270465 -0.3948461  -0.11128831  0.00866358
 -0.05553014 -0.12912657  0.08849978 -0.30948344 -0.09597003 -0.14292632
  0.19807712  0.2309896   0.4005707   0.34091773 -0.17232853  0.16815105
 -0.2803433  -0.42029473  0.57097131 -0.40422902 -0.30561214 -0.02810876
  0.09635248  0.17980587  0.32420173 -0.03793731  0.03096656 -0.08836804
  0.0279783  -0.08035372  0.23774092  0.08453181  0.05861576 -0.01712699
  0.27737193  0.39069547 -0.05717626 -0.02819769 -0.04258191  0.18735462
 -0.22944589 -0.17328669 -0.30122364  0.26370742 -0.24866011  0.33110176
 -0.00477458  0.22633892 -0.16061123  0.0166027   0.31061081 -0.81835333
 -0.11149484  0.43036473  0.06726478 -0.42591926  0.34498599  0.20379121
  0.07270971 -0.16310932  0.33565809 -0.22299043 -0.06471395 -0.2494021
  0.04731308  0.36878222 -0.17754406 -0.42428525  0.01029027  0.1233635
 -0.31111104 -0.26068142]"
1,"[ 0.24555194  0.19842896  0.10825458 -0.00966373 -0.30967898 -0.1222006
 -0.50616061  0.21648762  0.46743226  0.25951902 -0.414684    0.40313006
 -0.19678067 -0.03279327 -0.08307242 -0.15766453 -0.4635202  -0.29061852
  0.43443336  0.36748025  0.19846001  0.33675692 -0.25093555 -0.04580645
  0.07427487  0.1719633   0.18010443 -0.25816124 -0.03449852  0.07639721
  0.17146623  0.07409488 -0.21509689 -0.48442051 -0.65155191  0.0161874
  0.64452851 -0.54570439  0.06814547  0.09804022 -0.14049441 -0.02120494
 -0.35746912 -0.05508081 -0.08400528  0.02497841  0.30223055  0.36255596
 -0.26843021  0.28750956 -0.36297626 -0.3037844  -0.73483919 -0.48754773
 -0.32138963 -0.19548402 -0.24923476 -0.34930701 -0.50707033 -0.24161813
  0.1126555   0.05709601  0.13575636  0.03622798  0.25671485  0.0321446
 -0.02817293  0.01386931  0.6952077   0.36622303 -0.50944679  0.1930083
 -0.26000779  0.30136825 -0.16407858 -0.25320518 -0.31996722  0.32425983
 -0.28729907  0.36306833  0.44941224 -0.26285598  0.27889988  0.15466754
 -0.27995183  0.20447717  0.00279356  0.20193323 -0.36420102 -0.41194323
  0.4000454   0.17635384  0.13407505 -0.28703993 -0.06376865 -0.04510601
 -0.37857092 -0.01921156  0.52995229 -0.16722109  0.34798907  0.15496561
 -0.05978303 -0.06903614 -0.21452042  0.14976432 -0.45814473  0.35326102
  0.21098277 -0.15111681  0.05133472  0.62434588  0.07266167  0.21743354
  0.18236896  0.09964955 -0.41827718 -0.07816888  0.02958166 -0.17180114
  0.13934009 -0.45475278 -0.13535032  0.31959423 -0.46189199 -0.71856421
  0.06579754 -0.33182599 -0.17451574 -0.42314651 -0.11454285  0.01749452
 -0.07121865 -0.14975066  0.08402503 -0.29736865 -0.11805821 -0.13421061
  0.16970839  0.21066389  0.40866032  0.2880331  -0.17302369  0.18836227
 -0.30961938 -0.45883006  0.53951333 -0.40527981 -0.30570539 -0.07911045
  0.06013276  0.10983758  0.34134687 -0.07209618  0.09552812 -0.0630535
  0.02569598 -0.09670223  0.2765421   0.11017843  0.04798425 -0.02672117
  0.29465867  0.41937945 -0.01981994 -0.05296043 -0.00292083  0.23836374
 -0.19440648 -0.19962067 -0.25453424  0.26886942 -0.29578228  0.37467641
  0.02141601  0.25341437 -0.15560409 -0.00431999  0.25423438 -0.85518322
 -0.11587842  0.42531038  0.08694257 -0.43571823  0.33659114  0.21255408
  0.12627619 -0.16785157  0.25409993 -0.2229075  -0.01573495 -0.26585134
  0.03891836  0.42280072 -0.20362826 -0.47515914  0.06239688  0.12222957
 -0.29768196 -0.26409768]"
2,"[ 2.29018640e-01  2.36163950e-01  1.43522644e-01  1.07285469e-02
 -2.56367467e-01 -1.33605546e-01 -5.14113352e-01  1.80980240e-01
  4.93945823e-01  2.73781138e-01 -3.81585216e-01  3.70394818e-01
 -2.12009021e-01 -3.49859513e-02 -6.96437273e-02 -7.99940442e-02
 -5.48819334e-01 -3.48844496e-01  4.41053082e-01  3.77536926e-01
  1.70583840e-01  3.78623520e-01 -2.20703037e-01  2.92844945e-02
  1.28064872e-01  2.18007864e-01  2.40059405e-01 -2.37549563e-01
 -9.27509639e-02  1.39071235e-01  1.66864049e-01  5.61759262e-02
 -2.46435114e-01 -5.39862980e-01 -6.77839070e-01  8.11296354e-02
  6.39538953e-01 -5.54891425e-01  5.20319903e-02  7.35678802e-02
 -1.25217704e-01 -7.56772190e-02 -3.36833855e-01 -1.10262918e-01
 -7.28918807e-02 -5.98185967e-03  2.95812785e-01  4.04875819e-01
 -2.50827271e-01  3.22024521e-01 -3.85603590e-01 -3.52356450e-01
 -7.17637715e-01 -4.97582083e-01 -2.60857768e-01 -1.25035456e-01
 -2.18187247e-01 -3.92253991e-01 -5.26473734e-01 -2.19373606e-01
  5.49858872e-02  7.38110987e-02  1.90481415e-01  1.62585234e-01
  2.15844137e-01  9.17827109e-02  1.46133725e-02  3.59826572e-02
  7.65455606e-01  3.81998656e-01 -5.44287159e-01  1.81536215e-01
 -2.82859363e-01  2.60337425e-01 -2.13427605e-01 -3.09429928e-01
 -3.65166837e-01  2.90025332e-01 -2.56032430e-01  3.09121506e-01
  4.46385071e-01 -2.54424623e-01  2.57728914e-01  1.08524500e-01
 -2.65151774e-01  1.63609990e-01 -7.26066188e-04  2.32761904e-01
 -3.53429846e-01 -4.48292035e-01  3.79551809e-01  2.30475452e-01
  1.52506238e-01 -2.27272468e-01  6.72567663e-03  7.31788371e-03
 -4.02094948e-01  2.56601401e-02  5.35515522e-01 -1.92696916e-01
  3.38037352e-01  2.67969281e-01 -3.42896412e-02 -3.04919788e-02
 -2.17410215e-01  1.23452950e-01 -5.11905451e-01  3.50931621e-01
  2.14791852e-01 -1.25560164e-01  5.77105650e-02  6.35082531e-01
  1.14394993e-01  2.22965470e-01  2.34146681e-01  1.21607206e-01
 -4.11916096e-01 -3.10868200e-02 -4.28653663e-02 -1.67966823e-01
  8.62097560e-02 -5.29644352e-01 -1.97495328e-01  4.19087745e-01
 -4.90430135e-01 -7.59872627e-01  2.57158268e-02 -3.70754469e-01
 -1.30134846e-01 -4.38819606e-01 -1.07040664e-01  2.96426113e-02
 -8.54248697e-02 -1.63234141e-01  1.34818998e-01 -3.84082869e-01
 -6.82193792e-02 -9.01231819e-02  1.75967493e-01  2.43630897e-01
  4.57924456e-01  2.93531157e-01 -1.61305019e-01  1.26294979e-01
 -3.06542621e-01 -4.52412020e-01  5.74844287e-01 -3.86458953e-01
 -2.50996730e-01 -6.82013685e-02  4.22486346e-02  2.24078115e-01
  3.40342425e-01  1.27029626e-02  5.69018042e-02 -1.00584126e-01
  2.77999954e-02 -8.82262576e-02  2.32550454e-01  1.04193800e-01
  9.49565614e-02 -4.69635182e-03  3.00582586e-01  3.95987783e-01
 -4.27194989e-02 -1.18350669e-01 -7.98061036e-02  2.23241101e-01
 -2.36274483e-01 -1.49141319e-01 -2.43385229e-01  2.80403571e-01
 -3.63400356e-01  3.15079124e-01  1.81709974e-02  2.60159263e-01
 -1.35969077e-01 -3.92378663e-02  2.49245542e-01 -8.38474061e-01
 -1.08212288e-01  4.75394722e-01  9.80653297e-02 -4.86626577e-01
  3.24655873e-01  2.05046745e-01  1.18350339e-01 -1.22383403e-01
  2.77273502e-01 -2.68329414e-01  1.14294721e-02 -3.14724527e-01
  6.79268936e-02  3.31869378e-01 -1.52479136e-01 -4.28743796e-01
  5.07877843e-03  8.00150094e-02 -2.66743980e-01 -3.00978598e-01]"
3,"[ 2.34295037e-01  2.26902300e-01  1.55130845e-01 -7.78758145e-02
 -1.90970674e-01 -6.52609849e-02 -4.65543090e-01  1.51793568e-01
  4.33414672e-01  1.84011482e-01 -3.92399075e-01  4.13017931e-01
 -2.27480977e-01 -1.13808307e-01 -8.70965706e-02 -1.99407005e-01
 -4.62425345e-01 -3.24089469e-01  4.55272856e-01  3.78720350e-01
  2.52661802e-01  3.51314694e-01 -2.23765117e-01 -8.24049810e-02
  3.37926691e-02  2.01673652e-01  1.74771279e-01 -2.33837583e-01
 -2.81715401e-03  1.30379334e-01  2.26990028e-01  9.00908029e-02
 -2.50278972e-01 -4.99091157e-01 -6.18442395e-01  1.02974723e-01
  6.13249764e-01 -5.77076425e-01  8.86652918e-02  3.85198958e-02
 -1.40808431e-01 -6.66611030e-02 -3.39080433e-01 -3.62917726e-02
 -1.07232346e-01  4.37187253e-02  3.51490187e-01  2.63002448e-01
 -2.99132833e-01  3.50957967e-01 -4.18665132e-01 -3.74364304e-01
 -6.42102426e-01 -5.10368020e-01 -3.38851920e-01 -2.05096416e-01
 -2.39379416e-01 -3.80908605e-01 -4.62736749e-01 -2.39055018e-01
  1.58244757e-01  1.24256554e-01  1.38678606e-01 -7.14093710e-03
  2.93982861e-01  9.86719202e-02  5.87363762e-02 -6.13483540e-03
  6.74515580e-01  2.76635129e-01 -5.14444327e-01  2.94429353e-01
 -2.25662850e-01  3.22537497e-01 -2.40500818e-01 -2.86034933e-01
 -4.04184061e-01  3.35847225e-01 -3.01944522e-01  3.45834135e-01
  3.57937430e-01 -2.24907301e-01  2.70004862e-01  6.47321832e-02
 -1.67780030e-01  2.80191509e-01  6.63944464e-02  3.08188951e-01
 -2.90361906e-01 -4.80734249e-01  4.81767724e-01  1.35186730e-01
  5.62946901e-02 -3.51006258e-01 -4.71874959e-02 -1.53551369e-01
 -2.81472172e-01  1.69529668e-02  5.00746360e-01 -1.95258580e-01
  3.77669943e-01  1.85747898e-01 -4.68277744e-02 -3.90424846e-02
 -1.01138671e-01  3.93810896e-02 -4.44264362e-01  3.59127793e-01
  1.73618411e-01 -1.04101140e-01  1.40712963e-02  6.91918002e-01
 -6.08804552e-05  1.86673705e-01  1.89307703e-01  7.96705913e-02
 -4.34843032e-01 -1.18693066e-01  6.08654355e-03 -1.29440561e-01
  1.02179730e-01 -4.99464391e-01 -2.10334790e-01  3.03381496e-01
 -4.65035586e-01 -7.77221368e-01  4.54848788e-02 -2.94727574e-01
 -2.09571624e-01 -4.15826713e-01 -1.19451920e-01  3.06125726e-02
 -6.87239035e-02 -1.33920802e-01  8.98911525e-02 -2.89483047e-01
 -1.78326705e-01 -2.21834436e-01  2.05127595e-01  2.36992244e-01
  4.34984022e-01  3.40628903e-01 -2.47350546e-01  1.64486700e-01
 -3.56466179e-01 -3.82153838e-01  5.47928696e-01 -4.20822440e-01
 -2.38481504e-01 -6.72216896e-02  1.11691757e-01  1.17786001e-01
  3.82796243e-01 -1.22493391e-01  8.50885438e-02 -7.28154681e-02
  6.63058054e-02 -1.41225020e-01  3.20308076e-01  2.41268514e-01
  4.09128716e-02 -6.93941498e-02  2.68031147e-01  3.43301902e-01
 -5.06684115e-02  1.98453318e-02 -4.70217988e-02  2.35433383e-01
 -2.53206269e-01 -2.39092057e-01 -3.27871323e-01  2.74143608e-01
 -2.80363480e-01  3.88599859e-01 -3.98322047e-02  2.63547578e-01
 -1.25531531e-01  4.88094850e-02  2.05728590e-01 -8.78862370e-01
 -8.76103016e-02  3.74459041e-01  1.63208091e-01 -4.43963096e-01
  3.79610412e-01  2.15700325e-01  1.45080909e-01 -8.10388049e-02
  2.96660006e-01 -2.04891118e-01 -1.15130919e-01 -2.19669759e-01
 -2.58348880e-02  4.38759357e-01 -2.45710549e-01 -4.50913221e-01
  5.19105528e-02  1.35385395e-01 -2.92933037e-01 -3.08905229e-01]"
4,"[ 2.84265939e-01  1.22272857e-01  1.43204255e-01 -6.44584241e-03
 -2.28360287e-01 -1.06427765e-01 -4.76166145e-01  1.60446732e-01
  4.33335500e-01  2.24860266e-01 -3.41475272e-01  3.47832952e-01
 -2.21333509e-01 -5.79585606e-02 -4.61418753e-02 -2.55560133e-02
 -4.86982210e-01 -3.26554169e-01  3.57002903e-01  3.10895176e-01
  2.59034356e-01  3.43903102e-01 -1.92600970e-01 -2.97220733e-02
  4.87939627e-02  2.52746352e-01  2.09521096e-01 -2.85608514e-01
 -2.35719919e-02  6.35756742e-02  1.79254675e-01  3.27347490e-02
 -2.18993344e-01 -5.32360972e-01 -6.35209687e-01  1.97839261e-02
  6.02478644e-01 -4.87881290e-01  6.35608327e-02  1.19493153e-01
 -7.36246174e-02 -5.59161747e-02 -3.26475418e-01 -6.73041994e-02
 -1.03309133e-01  4.30090934e-03  3.19316581e-01  3.34016655e-01
 -3.05481336e-01  4.03691863e-01 -3.82296134e-01 -3.28492997e-01
 -6.51703362e-01 -5.01116325e-01 -2.11352654e-01 -1.76713583e-01
 -2.04670192e-01 -3.93864267e-01 -4.24118852e-01 -1.84215967e-01
  1.09329499e-01  8.84825852e-02  1.02445973e-01  8.41556625e-02
  2.31888243e-01  3.84672960e-02  1.64122890e-03  1.38909624e-02
  5.99248156e-01  3.26825128e-01 -5.37413285e-01  1.91317898e-01
 -1.99906650e-01  3.67539922e-01 -1.48342260e-01 -2.37083979e-01
 -3.67905202e-01  2.83921645e-01 -3.23136674e-01  3.18221190e-01
  4.38817692e-01 -2.74185076e-01  2.84715558e-01  1.06236466e-01
 -2.89366305e-01  1.77661969e-01  6.89410993e-03  2.12108410e-01
 -3.35035425e-01 -4.22608458e-01  3.35885809e-01  1.69527550e-01
  1.20756547e-01 -2.79096278e-01 -4.38373786e-03 -4.76504754e-02
 -3.70352401e-01 -3.94749209e-02  4.89533970e-01 -2.02319412e-01
  3.19580910e-01  1.37550873e-01 -2.65861783e-02 -4.60994689e-03
 -7.66106567e-02  1.20470232e-01 -4.10872471e-01  3.47256520e-01
  1.18391195e-01 -1.17899151e-01  4.25574189e-02  6.19831206e-01
  7.08348725e-02  2.71058917e-01  1.50494950e-01  1.52629966e-01
 -3.17695134e-01 -7.00820891e-02  4.71046274e-02 -1.29320296e-01
  1.14966290e-01 -4.86139499e-01 -1.91524315e-01  3.37027250e-01
 -5.21982967e-01 -6.48524350e-01  2.67759258e-02 -2.93610872e-01
 -1.62321920e-01 -4.02133734e-01 -9.09271602e-02  1.15412113e-01
 -1.48468585e-01 -1.02514856e-01  8.14068668e-02 -2.61402731e-01
 -9.04344228e-02 -1.88443450e-01  1.87030798e-01  1.84159341e-01
  4.00218039e-01  2.20191259e-01 -1.48595948e-01  1.50097649e-01
 -3.19470030e-01 -4.32611599e-01  4.98926073e-01 -3.55262508e-01
 -2.66920058e-01 -7.89630905e-02  1.25916575e-01  1.81327755e-01
  3.02776935e-01 -1.06290648e-02  9.46438980e-02 -7.23675936e-02
  5.95950720e-02 -9.66278097e-02  2.64588081e-01  1.73911443e-01
  7.70425599e-02  2.39440680e-02  2.63926426e-01  3.22708259e-01
 -6.48041081e-02  5.08002563e-04 -4.63779394e-02  2.01482857e-01
 -2.15430724e-01 -2.11246745e-01 -2.08194041e-01  2.52868265e-01
 -2.47846225e-01  2.96207642e-01  4.34582795e-02  2.27969568e-01
 -1.22165889e-01 -3.56755660e-02  2.38618396e-01 -7.68993470e-01
 -1.12346489e-01  4.08702702e-01  1.03666200e-01 -4.39694415e-01
  3.06829172e-01  2.72592512e-01  1.16921237e-01 -8.73559247e-02
  2.62727313e-01 -2.50092338e-01 -3.53575290e-02 -2.50741717e-01
  3.93171382e-02  3.97493711e-01 -9.84120229e-02 -4.16437625e-01
  4.88053991e-02  1.37151075e-01 -2.55800043e-01 -2.84222793e-01]"
5,"[ 0.26643758  0.17421773  0.14396592 -0.02989908 -0.2594911  -0.09940391
 -0.5227114   0.17440861  0.47171326  0.27779394 -0.42994957  0.42151309
 -0.19085561 -0.01887869 -0.06414434 -0.14372288 -0.49312794 -0.32604649
  0.41171056  0.29669429  0.25347855  0.37149914 -0.22832311 -0.06217855
  0.06842985  0.24530699  0.19989044 -0.27461485 -0.07588299  0.11732077
  0.20171722  0.07739674 -0.23660531 -0.53063132 -0.67000348  0.05406059
  0.6726452  -0.55197806  0.06774232  0.12583319 -0.14005547 -0.04164265
 -0.33372625 -0.06833095 -0.10517572  0.03485772  0.3377205   0.37864264
 -0.30176138  0.36266776 -0.34691475 -0.34665766 -0.73709311 -0.51153026
 -0.29021684 -0.17376375 -0.25187776 -0.41981222 -0.47178851 -0.23861036
  0.11143086  0.0893235   0.13287545  0.0801837   0.23677583  0.03757788
  0.00280856  0.02104668  0.67484113  0.35683144 -0.50927812  0.20349168
 -0.22954643  0.34187345 -0.14832966 -0.30440545 -0.3738942   0.28646892
 -0.30462282  0.37504013  0.47712892 -0.24522732  0.28040457  0.12952439
 -0.27580406  0.23234393  0.02559777  0.23375767 -0.38058842 -0.43708143
  0.43675108  0.20109591  0.13625684 -0.28902353 -0.02468995 -0.07373528
 -0.3591016  -0.05792785  0.53183806 -0.18593795  0.34139227  0.18369537
 -0.02721868 -0.04515702 -0.14363126  0.08524417 -0.46076549  0.3531135
  0.1433676  -0.15893424  0.0169708   0.64919074  0.07690922  0.25237297
  0.18520285  0.12078437 -0.37243173 -0.09317034  0.03351859 -0.13590285
  0.14061009 -0.47096094 -0.17128892  0.3438084  -0.54267836 -0.70727935
  0.06043468 -0.34466346 -0.16954892 -0.45546084 -0.09020832  0.04956132
 -0.1094016  -0.14245869  0.05676939 -0.27774308 -0.10219787 -0.18110132
  0.19804666  0.22551298  0.41990654  0.27391987 -0.19427896  0.16816876
 -0.33063474 -0.42765871  0.54946411 -0.39153043 -0.29873775 -0.03826531
  0.09588922  0.18058229  0.35039247 -0.04484468  0.0525073  -0.07649542
  0.04803481 -0.07779999  0.26373867  0.12404086  0.07922495 -0.00719646
  0.30059503  0.40377604 -0.06820668 -0.00453414 -0.05211979  0.2243644
 -0.23613754 -0.20410415 -0.26588397  0.26594929 -0.27159397  0.36026156
 -0.00708034  0.24667295 -0.15580603  0.00705456  0.27789858 -0.83594345
 -0.09900018  0.40747577  0.11931578 -0.44072044  0.37393149  0.24812447
  0.10143182 -0.14485549  0.27368095 -0.24216958 -0.0408562  -0.25806417
  0.05931464  0.44328305 -0.18106256 -0.43249296  0.01623647  0.12166135
 -0.32176107 -0.26891799]"
6,"[ 0.26189168  0.17419942  0.14365456 -0.02280003 -0.25660565 -0.09370607
 -0.4872866   0.15934439  0.45181859  0.22806272 -0.42413517  0.38296434
 -0.19468874 -0.06223038 -0.06255361 -0.13992019 -0.49569489 -0.32077385
  0.43771058  0.33615082  0.24597227  0.36651941 -0.2319114  -0.05729643
  0.07701337  0.22282083  0.18465778 -0.24707398 -0.0432524   0.10714687
  0.20723023  0.05077194 -0.23812575 -0.5065642  -0.67131944  0.06456433
  0.64654821 -0.55423724  0.06079333  0.06304177 -0.13986103 -0.03053005
 -0.33529569 -0.06055402 -0.09007237  0.03691058  0.32200032  0.35269061
 -0.30552221  0.32706383 -0.37001857 -0.36832545 -0.70133153 -0.51346865
 -0.29248073 -0.19263718 -0.24350123 -0.39771502 -0.50917478 -0.22772764
  0.1102495   0.09472136  0.14926705  0.0680134   0.24949155  0.07634982
  0.00893412  0.02402454  0.6619013   0.3337596  -0.5330757   0.19735497
 -0.23042775  0.32580746 -0.17085439 -0.29552306 -0.35601118  0.28675449
 -0.28694905  0.33431701  0.44706718 -0.24255454  0.26571456  0.10031654
 -0.26545814  0.19697116  0.03528419  0.26236662 -0.35369669 -0.44216241
  0.40198176  0.1881627   0.11950904 -0.29689342 -0.02359679 -0.08879443
 -0.34868214 -0.03137703  0.52218505 -0.1932538   0.33449712  0.2038638
 -0.04797594 -0.03124624 -0.14511806  0.09690247 -0.46889382  0.35223866
  0.17148551 -0.11542192  0.03795264  0.64160783  0.07036946  0.2229318
  0.19986019  0.13143971 -0.38389996 -0.10140241  0.01007508 -0.15999564
  0.11216974 -0.48597867 -0.18764202  0.34733129 -0.49275912 -0.73783968
  0.05707394 -0.32200516 -0.18069484 -0.41987326 -0.09593351  0.02255049
 -0.09397406 -0.13322456  0.09847256 -0.32429914 -0.11085493 -0.17259641
  0.21268754  0.21324312  0.43314015  0.3040808  -0.19328376  0.16742658
 -0.33436856 -0.41644262  0.58279351 -0.3972407  -0.27854167 -0.06384802
  0.08217859  0.17566655  0.33320828 -0.04360874  0.07071894 -0.07211011
  0.05565839 -0.10180889  0.26013069  0.14458197  0.05381623 -0.03350232
  0.29274359  0.37763471 -0.03833052 -0.02682565 -0.0284602   0.20064948
 -0.25338311 -0.20755221 -0.26714928  0.2482479  -0.28575897  0.34509063
  0.01920301  0.26550705 -0.15005594  0.02872933  0.26691546 -0.85532416
 -0.10227233  0.41472449  0.12813996 -0.43388672  0.36111355  0.20805031
  0.11430418 -0.12428435  0.28823159 -0.21708614 -0.03933602 -0.24893776
  0.04826142  0.41827989 -0.17831449 -0.43338267  0.04706876  0.13412482
 -0.26265017 -0.29257266]"
7,"[ 2.35879752e-01  8.91729240e-02  1.50961957e-01  1.51993798e-02
 -2.72698007e-01 -1.33216115e-01 -4.63971886e-01  1.11771932e-01
  4.15630829e-01  1.90544946e-01 -4.42426637e-01  3.50587565e-01
 -1.96599549e-01 -3.07589816e-02 -3.72474302e-02 -1.13630525e-01
 -5.21467967e-01 -3.09332970e-01  3.97691587e-01  4.20869971e-01
  2.59942824e-01  3.75667474e-01 -2.18457782e-01 -3.14359918e-02
  1.39455802e-01  1.54121088e-01  1.36960974e-01 -2.56816759e-01
 -7.02231522e-02  1.61413614e-01  2.06254204e-01  3.48473242e-02
 -2.14491735e-01 -5.43937656e-01 -7.60391497e-01  9.28602354e-02
  6.82807660e-01 -5.39343262e-01  3.33948129e-02  1.20996686e-01
 -1.36250845e-01 -4.56124168e-02 -3.24688291e-01 -1.88769254e-02
 -5.65013377e-02  3.52343904e-02  3.46389793e-01  3.40022573e-01
 -2.41375907e-01  3.26824537e-01 -3.69054053e-01 -3.35212008e-01
 -6.99100652e-01 -5.00676250e-01 -2.23980911e-01 -1.08015381e-01
 -2.54751462e-01 -4.51559961e-01 -5.63223191e-01 -2.05566412e-01
  1.46571554e-01  1.21498666e-01  5.01715001e-02  1.61749085e-01
  2.18631731e-01  3.79512305e-03  4.62313025e-02  1.99078339e-02
  6.49552582e-01  4.00442004e-01 -5.41797096e-01  1.01337172e-01
 -2.52222116e-01  3.16985490e-01 -1.69101071e-01 -2.99098622e-01
 -3.52435914e-01  2.38100525e-01 -2.47794982e-01  3.82207924e-01
  4.99303231e-01 -2.90145736e-01  3.53502692e-01  1.83551464e-01
 -2.57729877e-01  1.36078949e-01  5.92350778e-02  2.60304819e-01
 -4.23278452e-01 -4.66337207e-01  3.59131309e-01  2.58082774e-01
  2.50989244e-01 -3.20671793e-01  1.85521619e-02 -7.72599801e-02
 -3.54813208e-01 -3.86483966e-02  5.58935128e-01 -1.86941015e-01
  3.16300574e-01  1.93966974e-01 -7.34774557e-02  7.18566874e-03
 -1.80198964e-01  1.22015004e-01 -5.21869582e-01  3.23364998e-01
  2.50418137e-01 -9.54117369e-02  4.62129931e-02  6.71620435e-01
  7.50680636e-02  2.58610142e-01  1.84204001e-01  1.87254342e-01
 -3.21075501e-01 -1.26649958e-01  3.00096987e-02 -9.74081327e-02
  1.17366954e-01 -5.74003357e-01 -2.26263190e-01  3.54386472e-01
 -4.78650075e-01 -5.90651709e-01  9.94833333e-02 -3.12520300e-01
 -1.38120674e-01 -3.47784980e-01 -9.94796456e-02  5.41146003e-02
 -1.06427149e-01 -1.25723768e-01  1.32209564e-01 -3.83946362e-01
 -4.12263631e-02 -1.58129029e-01  1.84041805e-01  2.64567312e-01
  4.18320053e-01  2.84329463e-01 -1.87607451e-01  1.02050861e-01
 -3.27912101e-01 -4.26105474e-01  6.65596961e-01 -3.86579122e-01
 -3.04998530e-01 -1.35769563e-02  1.78377568e-01  2.22559754e-01
  2.80023739e-01 -1.14554346e-02  5.94408321e-02 -7.79394941e-02
  3.95020250e-02 -9.99352301e-02  2.94796574e-01  7.25820680e-02
  1.40122146e-01  6.23780136e-02  3.04560126e-01  3.46861937e-01
 -6.42468331e-02 -2.01348842e-02 -3.14800627e-05  1.33547188e-01
 -2.55780647e-01 -1.93065702e-01 -2.15786445e-01  2.65850696e-01
 -1.88824255e-01  3.32691747e-01  6.06827561e-02  1.97124571e-01
 -1.54162734e-01  7.63968273e-02  2.60801498e-01 -8.35217293e-01
 -9.32584974e-02  5.11514622e-01  1.00664031e-01 -4.96128734e-01
  3.45928325e-01  2.66680105e-01  5.55276280e-02 -1.30002848e-01
  3.42646571e-01 -1.55012030e-01 -2.29808327e-02 -3.04561242e-01
  3.92089268e-02  3.46194577e-01 -1.09352050e-01 -4.56593336e-01
  5.49445564e-02  1.03057407e-01 -2.40486919e-01 -3.55174395e-01]"
